 >TARCYL  cylindrical target: Length= 20.0000 Diameter=  3.0000
      4500 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.50000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    544 -26  -2  -3 1 1 1
    545 -25  -2  -3 1 1 1
    546 -24  -2  -3 1 1 1
    547 -23  -2  -3 1 1 1
    548 -22  -2  -3 1 1 1
    549 -21  -2  -3 1 1 1
    550 -20  -2  -3 1 1 1
    551 -19  -2  -3 1 1 1
    552 -18  -2  -3 1 1 1
    553 -17  -2  -3 1 1 1
    554 -16  -2  -3 1 1 1
    555 -15  -2  -3 1 1 1
    556 -14  -2  -3 1 1 1
    557 -13  -2  -3 1 1 1
    558 -12  -2  -3 1 1 1
    559 -11  -2  -3 1 1 1
    560 -10  -2  -3 1 1 1
    561  -9  -2  -3 1 1 1
    562  -8  -2  -3 1 1 1
    563  -7  -2  -3 1 1 1
    564  -6  -2  -3 1 1 1
    565  -5  -2  -3 1 1 1
    566  -4  -2  -3 1 1 1
    567  -3  -2  -3 1 1 1
    568  -2  -2  -3 1 1 1
    569  -1  -2  -3 1 1 1
    570   0  -2  -3 1 1 1
    571   1  -2  -3 1 1 1
    572   2  -2  -3 1 1 1
    573   3  -2  -3 1 1 1
    574   4  -2  -3 1 1 1
    575   5  -2  -3 1 1 1
    576   6  -2  -3 1 1 1
    577   7  -2  -3 1 1 1
    578   8  -2  -3 1 1 1
    579   9  -2  -3 1 1 1
    580  10  -2  -3 1 1 1
    581  11  -2  -3 1 1 1
    582  12  -2  -3 1 1 1
    583  13  -2  -3 1 1 1
    584  14  -2  -3 1 1 1
    585  15  -2  -3 1 1 1
    586  16  -2  -3 1 1 1
    587  17  -2  -3 1 1 1
    588  18  -2  -3 1 1 1
    589  19  -2  -3 1 1 1
    590  20  -2  -3 1 1 1
    591  21  -2  -3 1 1 1
    592  22  -2  -3 1 1 1
    593  23  -2  -3 1 1 1
    594  24  -2  -3 1 1 1
    595  25  -2  -3 1 1 1
    596  26  -2  -3 1 1 1
    597  27  -2  -3 1 1 1
    598  28  -2  -3 1 1 1
    599  29  -2  -3 1 1 1
    600  30  -2  -3 1 1 1
    601 -29  -1  -3 1 1 1
    602 -28  -1  -3 1 1 1
    603 -27  -1  -3 1 1 1
    604 -26  -1  -3 1 1 1
    605 -25  -1  -3 1 1 1
    606 -24  -1  -3 1 1 1
    607 -23  -1  -3 1 1 1
    608 -22  -1  -3 1 1 1
    609 -21  -1  -3 1 1 1
    610 -20  -1  -3 1 1 1
    611 -19  -1  -3 1 1 1
    612 -18  -1  -3 1 1 1
    613 -17  -1  -3 1 1 1
    614 -16  -1  -3 1 1 1
    615 -15  -1  -3 1 1 1
    616 -14  -1  -3 1 1 1
    617 -13  -1  -3 1 1 1
    618 -12  -1  -3 1 1 1
    619 -11  -1  -3 1 1 1
    620 -10  -1  -3 1 1 1
    621  -9  -1  -3 1 1 1
    622  -8  -1  -3 1 1 1
    623  -7  -1  -3 1 1 1
    624  -6  -1  -3 1 1 1
    625  -5  -1  -3 1 1 1
    626  -4  -1  -3 1 1 1
    627  -3  -1  -3 1 1 1
    628  -2  -1  -3 1 1 1
    629  -1  -1  -3 1 1 1
    630   0  -1  -3 1 1 1
    631   1  -1  -3 1 1 1
    632   2  -1  -3 1 1 1
    633   3  -1  -3 1 1 1
    634   4  -1  -3 1 1 1
    635   5  -1  -3 1 1 1
    636   6  -1  -3 1 1 1
    637   7  -1  -3 1 1 1
    638   8  -1  -3 1 1 1
    639   9  -1  -3 1 1 1
    640  10  -1  -3 1 1 1
    641  11  -1  -3 1 1 1
    642  12  -1  -3 1 1 1
    643  13  -1  -3 1 1 1
    644  14  -1  -3 1 1 1
    645  15  -1  -3 1 1 1
    646  16  -1  -3 1 1 1
    647  17  -1  -3 1 1 1
    648  18  -1  -3 1 1 1
    649  19  -1  -3 1 1 1
    650  20  -1  -3 1 1 1
    651  21  -1  -3 1 1 1
    652  22  -1  -3 1 1 1
    653  23  -1  -3 1 1 1
    654  24  -1  -3 1 1 1
    655  25  -1  -3 1 1 1
    656  26  -1  -3 1 1 1
    657  27  -1  -3 1 1 1
    658  28  -1  -3 1 1 1
    659  29  -1  -3 1 1 1
    660  30  -1  -3 1 1 1
    661 -29   0  -3 1 1 1
    662 -28   0  -3 1 1 1
    663 -27   0  -3 1 1 1
    664 -26   0  -3 1 1 1
    665 -25   0  -3 1 1 1
    666 -24   0  -3 1 1 1
    667 -23   0  -3 1 1 1
    668 -22   0  -3 1 1 1
    669 -21   0  -3 1 1 1
    670 -20   0  -3 1 1 1
    671 -19   0  -3 1 1 1
    672 -18   0  -3 1 1 1
    673 -17   0  -3 1 1 1
    674 -16   0  -3 1 1 1
    675 -15   0  -3 1 1 1
    676 -14   0  -3 1 1 1
    677 -13   0  -3 1 1 1
    678 -12   0  -3 1 1 1
    679 -11   0  -3 1 1 1
    680 -10   0  -3 1 1 1
    681  -9   0  -3 1 1 1
    682  -8   0  -3 1 1 1
    683  -7   0  -3 1 1 1
    684  -6   0  -3 1 1 1
    685  -5   0  -3 1 1 1
    686  -4   0  -3 1 1 1
    687  -3   0  -3 1 1 1
    688  -2   0  -3 1 1 1
    689  -1   0  -3 1 1 1
    690   0   0  -3 1 1 1
    691   1   0  -3 1 1 1
    692   2   0  -3 1 1 1
