 >TARCYL  cylindrical target: Length= 66.0000 Diameter= 20.0000
     20856 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.50000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    682 -11   0  -8 1 1 1
    683 -10   0  -8 1 1 1
    684  -9   0  -8 1 1 1
    685  -8   0  -8 1 1 1
    686  -7   0  -8 1 1 1
    687  -6   0  -8 1 1 1
    688  -5   0  -8 1 1 1
    689  -4   0  -8 1 1 1
    690  -3   0  -8 1 1 1
    691  -2   0  -8 1 1 1
    692  -1   0  -8 1 1 1
    693   0   0  -8 1 1 1
    694   1   0  -8 1 1 1
    695   2   0  -8 1 1 1
    696   3   0  -8 1 1 1
    697   4   0  -8 1 1 1
    698   5   0  -8 1 1 1
    699   6   0  -8 1 1 1
    700   7   0  -8 1 1 1
    701   8   0  -8 1 1 1
    702   9   0  -8 1 1 1
    703  10   0  -8 1 1 1
    704  11   0  -8 1 1 1
    705  12   0  -8 1 1 1
    706  13   0  -8 1 1 1
    707  14   0  -8 1 1 1
    708  15   0  -8 1 1 1
    709  16   0  -8 1 1 1
    710  17   0  -8 1 1 1
    711  18   0  -8 1 1 1
    712  19   0  -8 1 1 1
    713  20   0  -8 1 1 1
    714  21   0  -8 1 1 1
    715  22   0  -8 1 1 1
    716  23   0  -8 1 1 1
    717  24   0  -8 1 1 1
    718  25   0  -8 1 1 1
    719  26   0  -8 1 1 1
    720  27   0  -8 1 1 1
    721  28   0  -8 1 1 1
    722  29   0  -8 1 1 1
    723  30   0  -8 1 1 1
    724  31   0  -8 1 1 1
    725  32   0  -8 1 1 1
    726  33   0  -8 1 1 1
    727 -32   1  -8 1 1 1
    728 -31   1  -8 1 1 1
    729 -30   1  -8 1 1 1
    730 -29   1  -8 1 1 1
    731 -28   1  -8 1 1 1
    732 -27   1  -8 1 1 1
    733 -26   1  -8 1 1 1
    734 -25   1  -8 1 1 1
    735 -24   1  -8 1 1 1
    736 -23   1  -8 1 1 1
    737 -22   1  -8 1 1 1
    738 -21   1  -8 1 1 1
    739 -20   1  -8 1 1 1
    740 -19   1  -8 1 1 1
    741 -18   1  -8 1 1 1
    742 -17   1  -8 1 1 1
    743 -16   1  -8 1 1 1
    744 -15   1  -8 1 1 1
    745 -14   1  -8 1 1 1
    746 -13   1  -8 1 1 1
    747 -12   1  -8 1 1 1
    748 -11   1  -8 1 1 1
    749 -10   1  -8 1 1 1
    750  -9   1  -8 1 1 1
    751  -8   1  -8 1 1 1
    752  -7   1  -8 1 1 1
    753  -6   1  -8 1 1 1
    754  -5   1  -8 1 1 1
    755  -4   1  -8 1 1 1
    756  -3   1  -8 1 1 1
    757  -2   1  -8 1 1 1
    758  -1   1  -8 1 1 1
    759   0   1  -8 1 1 1
    760   1   1  -8 1 1 1
    761   2   1  -8 1 1 1
    762   3   1  -8 1 1 1
    763   4   1  -8 1 1 1
    764   5   1  -8 1 1 1
    765   6   1  -8 1 1 1
    766   7   1  -8 1 1 1
    767   8   1  -8 1 1 1
    768   9   1  -8 1 1 1
    769  10   1  -8 1 1 1
    770  11   1  -8 1 1 1
    771  12   1  -8 1 1 1
